Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,72196732,9248.50869190895,4388108,585455,1630521,208.8721639206616,77127,11463,
United States,Americas,16245376,49079.29,1489380,204281,298594,902.09,17152,1754,Community transmission
India,South-East Asia,9932547,7197.47,196697,26382,144096,104.42,2736,387,Clusters of cases
Brazil,Americas,6927145,32589.22,303234,25193,181835,855.45,4518,433,Community transmission
Russia,Europe,2734454,18737.55,193255,26509,48564,332.78,3846,596,Clusters of cases
France,Europe,2350207,36005.52,80539,11481,58700,899.29,2714,790,Community transmission
United Kingdom,Europe,1888120,27813.09,137875,18450,64908,956.13,2875,506,Community transmission
Italy,Europe,1870576,30938.13,113182,14839,65857,1089.23,4617,846,Clusters of cases
Spain,Europe,1762212,37690.52,45250,5061,48401,1035.21,768,43,Community transmission
Argentina,Americas,1503222,33260.23,36913,5062,41041,908.07,1153,275,Community transmission
Colombia,Americas,1434516,28192.5,57416,8742,39195,770.3,1200,142,Community transmission
Germany,Europe,1379238,16461.84,160714,27728,23427,279.61,3495,952,Clusters of cases
Mexico,Americas,1255974,9741.31,73725,5930,114298,886.49,4224,345,Community transmission
Poland,Europe,1159901,30647.42,83721,12455,23914,631.87,3322,605,Community transmission
IR,Eastern Mediterranean,1123474,13375.81,61077,7704,52670,627.08,1753,223,Community transmission
Turkey,Europe,1084109,12854.17,212016,32102,16881,200.16,1567,235,Community transmission
Peru,Americas,986130,29908.24,11014,1157,36754,1114.71,430,77,Community transmission
Ukraine,Europe,919704,21029.61,74361,10622,15744,360,1540,264,Community transmission
South Africa,Africa,873679,14731.05,51790,7552,23661,398.95,1229,210,Community transmission
Indonesia,South-East Asia,629429,2301.19,42587,6120,19111,69.87,1111,155,Community transmission
Netherlands,Europe,628242,36664.53,58495,6682,10160,592.94,398,86,Community transmission
Belgium,Europe,611422,52755.99,12169,2,18178,1568.47,539,8,Community transmission
Czechia,Europe,594148,55481.28,37221,7897,9882,922.78,746,139,Community transmission
Iraq,Eastern Mediterranean,577363,14354.23,9225,1391,12614,313.61,137,11,Community transmission
Chile,Americas,575329,30096.41,11795,1499,15949,834.32,269,18,Community transmission
Romania,Europe,565758,29408.83,41083,6171,13698,712.04,1038,204,Community transmission
Bangladesh,South-East Asia,494209,3000.86,12264,1877,7129,43.29,223,40,Community transmission
Canada,Americas,468862,12422.77,45808,8119,13553,359.09,776,122,Community transmission
Philippines,Western Pacific,451839,4123.33,9054,1106,8812,80.42,142,55,Community transmission
Pakistan,Eastern Mediterranean,443246,2006.62,20067,2459,8905,40.31,418,73,Clusters of cases
Morocco,Eastern Mediterranean,403619,10935.05,19531,2793,6711,181.82,341,52,Clusters of cases
Switzerland,Europe,387195,44738.52,30074,4242,5674,655.6,575,102,Community transmission
Saudi Arabia,Eastern Mediterranean,360155,10345.16,1040,142,6069,174.33,80,10,Sporadic cases
Israel,Europe,357627,41317.72,10458,0,3002,346.83,73,0,Community transmission
Portugal,Europe,353576,34675.5,25600,2638,5733,562.24,611,84,Clusters of cases
Sweden,Europe,341029,33767.7,42834,2956,7667,759.16,125,6,Community transmission
Austria,Europe,325511,36142.2,19823,2954,4651,516.41,744,141,Community transmission
Hungary,Europe,288567,29871.27,28979,2804,7381,764.05,1101,144,Community transmission
Serbia,Europe,277248,39812.95,43221,5884,2433,349.38,371,53,Community transmission
Jordan,Eastern Mediterranean,265024,25974.76,17893,2547,3437,336.86,275,30,Community transmission
Nepal,South-East Asia,250180,8586.39,6803,936,1730,59.38,93,14,Clusters of cases
Ecuador,Americas,202356,11469.44,3604,176,13896,787.62,102,21,Community transmission
Georgia,Europe,198387,49731.44,24004,3487,1922,481.8,308,39,Community transmission
Panama,Americas,194619,45105.33,15389,1612,3382,783.82,170,26,Community transmission
Kazakhstan,Europe,187890,10006.55,5233,0,2609,138.95,67,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,187267,18934.22,8430,1226,622,62.89,26,4,Community transmission
Bulgaria,Europe,184287,26522.05,16122,2743,6005,864.22,849,167,Clusters of cases
Japan,Western Pacific,184042,1455.15,18202,2172,2688,21.25,268,45,Clusters of cases
Azerbaijan,Europe,183259,18074.35,29107,4273,2007,197.95,294,41,Clusters of cases
Croatia,Europe,179718,43777.42,24866,2360,2778,676.69,480,73,Community transmission
Belarus,Europe,164059,17361.98,13457,1911,1282,135.67,60,9,Community transmission
Dominican Republic,Americas,155797,14361.94,6167,613,2367,218.2,20,3,Community transmission
Costa Rica,Americas,153169,30067.82,6748,549,1936,380.05,111,15,Community transmission
Armenia,Europe,150218,50693.78,6152,1098,2556,862.57,163,27,Community transmission
Lebanon,Eastern Mediterranean,148877,21812.06,9742,1264,1223,179.18,87,13,Community transmission
Bolivia,Americas,147345,12622.7,1688,195,9024,773.06,27,6,Community transmission
Kuwait,Eastern Mediterranean,146710,34353.72,1810,261,913,213.79,13,1,Community transmission
Qatar,Eastern Mediterranean,141272,49034.85,1069,151,241,83.65,2,0,Community transmission
Slovakia,Europe,139088,25475.66,17292,3565,1309,239.76,243,58,Clusters of cases
Guatemala,Americas,130082,7260.84,3609,677,4476,249.84,190,31,Community transmission
Republic of Moldova,Europe,128656,31893.2,9452,1403,2625,650.72,165,27,Community transmission
